Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	d6cc41ab-1a56-4e69-a568-0d27fb6df431
Plate Name	241213_182618-V
Measurement	Measurement 2
Evaluation	Evaluation4
Population	Population - Nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei - Nucleus Area [µm²]	Nuclei - Nucleus Roundness	Nuclei - Intensity Nucleus Alexa 488 Mean	Nuclei - Intensity Nucleus Alexa 488 Median	Nuclei - Intensity Nucleus Alexa 568 Mean	Nuclei - Intensity Nucleus Alexa 568 Median	Nuclei - Green nuclei	Nuclei - Red nuclei	Nuclei - Red and Green nuclei	
2	8	1	2	18	590	136	[560,117,614,166]	-305.94	757.25					131.017	0.783531	543.072	523	357.709	349	1	0	0	
2	8	1	2	19	43	161	[18,137,72,194]	-464.11	749.61					190.908	0.947525	469.946	458	327.223	292	0	0	0	
2	8	1	2	20	419	202	[391,178,449,228]	-355.5	739.07					190.148	0.973008	535.816	509	375.76	346	1	0	0	
2	8	1	2	21	545	204	[519,177,570,239]	-319.03	736.98					209.577	0.939098	467.082	457	330.779	320	0	0	0	
2	8	1	2	22	904	215	[877,184,931,247]	-214.87	734.95					222.67	0.959265	415.164	411	338.925	331	0	0	0	
2	8	1	2	23	181	227	[157,203,214,254]	-423.64	731.23					200.961	0.929302	464.6	462	355.029	341	0	0	0	
2	8	1	2	24	691	235	[666,208,718,265]	-276.2	728.93					184.573	0.922761	456.254	455	356.325	350	0	0	0	
2	8	1	2	25	1018	237	[993,209,1043,265]	-181.36	728.96					194.372	0.971122	361.781	360	315.925	312	0	0	0	
2	8	1	2	26	60	232	[37,211,90,255]	-458.71	729.73					154.67	1.00242	543.638	527	384.147	366	1	0	0	
2	8	1	2	27	314	249	[274,221,345,278]	-387.02	725.02					258.571	0.943736	520.175	509	377.483	359	1	0	0	
2	8	1	2	28	813	255	[788,228,838,291]	-240.82	722.39					218.024	0.947786	442.131	433	345.96	339	0	0	0	
2	8	1	2	29	446	264	[424,242,467,292]	-347.48	720.18					142.252	0.874291	523.73	517	349.387	346	1	0	0	
2	8	1	2	30	921	322	[897,284,958,366]	-208.56	702.94					234.496	0.64204	424.549	399	319.317	315	0	0	0	
2	8	1	2	31	108	321	[75,290,137,347]	-446.48	705.09					223.261	0.960717	462.538	453	327.735	323	0	0	0	
2	8	1	2	32	323	324	[296,296,350,354]	-383.24	703.01					204.34	0.94467	588.365	563	371.681	357	1	0	0	
2	8	1	2	33	198	330	[170,300,229,358]	-419.38	701.87					199.018	0.917854	498.258	481	354.732	337	0	0	0	
2	8	1	2	34	999	339	[980,320,1019,370]	-187.05	697.52					136.255	0.972595	380.257	376	347.815	339	0	0	0	
2	8	1	2	35	60	358	[35,328,88,387]	-459.83	693.19					199.694	0.895215	450.304	439	318.567	311	0	0	0	
2	8	1	2	36	421	353	[394,330,446,377]	-355.25	694.83					176.295	0.967027	460.247	452	444.725	325	0	0	0	
2	8	1	2	37	937	376	[914,364,958,390]	-205.84	688.07					65.2974	0.537632	384.794	377	302.693	300	0	0	0	
2	8	1	2	38	792	397	[765,364,819,429]	-247.25	682.32					233.06	0.984497	526.145	520	371.455	362	1	0	0	
2	8	1	2	39	610	402	[577,369,648,435]	-299.23	680.72					304.947	0.949826	498.459	487	425.706	354	0	0	0	
2	8	1	2	40	1056	408	[1033,385,1079,437]	-170.39	678.06					166.58	0.996031	399.495	392	345.783	329	0	0	0	
2	8	1	2	41	274	429	[248,407,307,449]	-396.59	672.92					145.969	0.739944	573.432	561	431.97	402	1	0	0	
2	8	1	2	42	882	436	[857,411,908,465]	-220.57	670.6					174.014	0.989631	509.169	402	361.873	324	1	0	0	
2	8	1	2	43	393	453	[352,426,422,481]	-364.78	665.73					256.121	0.956014	480.656	477	339.393	336	0	0	0	
2	8	1	2	44	100	470	[73,439,129,501]	-447.68	661.23					216.166	0.912672	516.949	500	341.762	323	1	0	0	
2	8	1	2	45	484	481	[463,459,512,503]	-335.9	657.9					135.325	0.960446	564.784	541	415.912	403	1	0	0	
2	8	1	2	46	953	494	[922,471,976,517]	-201.39	654.02					169.706	0.983169	389.048	386	319.337	315	0	0	0	
2	8	1	2	47	874	522	[845,499,895,540]	-224.65	646.12					111.082	0.50816	614.682	600	411.267	407	1	0	0	
2	8	1	2	48	773	532	[757,513,797,552]	-251.22	642.26					82.192	0.478305	28633	28470	4285.56	4099	1	1	1	
2	8	1	2	49	218	561	[187,535,255,585]	-413.21	634.93					212.195	0.927022	600.775	578	397.29	383	1	0	0	
2	8	1	2	50	382	575	[348,549,412,603]	-366.25	629.98					197.159	0.859862	443.507	439	336.799	334	0	0	0	
2	8	1	2	51	111	582	[87,555,135,611]	-445.19	628.73					178.575	0.945565	526.363	525	328.885	324	1	0	0	
2	8	1	2	52	974	581	[950,556,998,604]	-193.86	628.84					146.983	0.912327	397.12	395	323.769	319	0	0	0	
2	8	1	2	53	505	598	[481,574,530,631]	-330.19	622.65					190.739	0.981882	618.165	613	373.965	367	1	0	0	
2	8	1	2	54	180	625	[162,608,224,646]	-421.3	615.22					158.555	0.863573	657.324	648	370.231	363	1	0	0	
2	8	1	2	55	902	645	[881,623,925,671]	-214.77	609.81					139.296	0.993579	439.94	436	345.76	339	0	0	0	
2	8	1	2	56	299	657	[266,628,319,967]	-392.51	568.72					691.494	0.317055	2380.99	1670	852.762	658	1	1	1	
2	8	1	2	57	1064	658	[1048,637,1079,697]	-167.16	604.89					113.447	0.783722	315.911	315	286.054	285	0	0	0	
2	8	1	2	58	89	669	[59,648,115,694]	-451.73	602.03					148.756	0.857084	417.813	413	307.42	300	0	0	0	
2	8	1	2	59	978	695	[955,670,1005,721]	-192.47	596.03					165.144	0.93144	393.791	387	316.998	310	0	0	0	
2	8	1	2	60	796	728	[773,674,829,757]	-244.24	589.8					255.699	0.605877	581.209	478	377.96	341	1	0	0	
2	8	1	2	61	425	701	[398,678,456,726]	-353.25	593.12					145.969	0.674724	441.12	435	342.881	340	0	0	0	
2	8	1	2	62	851	714	[829,688,878,740]	-229.46	590.31					151.206	0.927383	473.087	471	350.242	347	0	0	0	
2	8	1	2	63	75	710	[48,690,99,733]	-455.76	590.7					152.811	0.904358	441.417	434	311.7	304	0	0	0	
2	8	1	2	64	657	725	[628,696,686,757]	-286.34	586.67					235.257	1.00301	790.23	505	447.42	365	1	0	0	
2	8	1	2	65	939	729	[914,701,965,765]	-203.96	585.05					193.78	0.885721	409.142	403	322.435	318	0	0	0	
2	8	1	2	66	1028	754	[1002,729,1056,781]	-178.51	578.22					178.153	0.944281	352.275	350	309.863	306	0	0	0	
2	8	1	2	67	528	793	[500,765,555,827]	-324.03	566.18					225.289	0.845966	487.822	477	358.249	350	0	0	0	
2	8	1	2	68	891	795	[866,766,918,823]	-218.19	566.38					186.347	0.941187	484.95	484	367.036	364	0	0	0	
2	8	1	2	69	600	817	[568,783,631,844]	-303.21	560.95					229.597	0.909332	460.274	457	351.912	348	0	0	0	
2	8	1	2	70	150	829	[124,793,181,860]	-433.6	557.09					196.99	0.786979	507.322	504	417.147	407	1	0	0	
2	8	1	2	71	31	844	[5,826,64,863]	-467.21	552.25					152.642	0.89002	501.398	477	442.817	382	1	0	0	
2	8	1	2	72	411	862	[390,841,438,897]	-356.92	545.23					151.037	0.821306	522.219	516	361.122	356	1	0	0	
2	8	1	2	73	9	870	[0,854,18,889]	-475	544.43					39.8711	0.79726	435.517	434	295.638	289	0	0	0	
