Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G10,16 h,403.003,398,331.097,323,0,0,0,DMSO_10%_16h,1
G10,16 h,481.86,470,435.905,410,0,0,0,DMSO_10%_16h,1
G10,16 h,462.239,429,395.075,373,0,0,0,DMSO_10%_16h,1
G10,16 h,447.684,435,453.667,388,0,0,0,DMSO_10%_16h,1
G10,16 h,374.493,371,360.125,332,0,0,0,DMSO_10%_16h,1
G10,16 h,419.179,407,404.695,354,0,0,0,DMSO_10%_16h,1
G10,16 h,449.783,445,478.591,422,0,0,0,DMSO_10%_16h,1
G10,16 h,420.011,411,326.568,322,0,0,0,DMSO_10%_16h,1
G10,16 h,334.823,332,307.53,280,0,0,0,DMSO_10%_16h,1
G10,16 h,990.283,509,1692.5,532,1,1,1,DMSO_10%_16h,1
G10,16 h,409.105,405,603.436,510,0,1,0,DMSO_10%_16h,1
G10,16 h,542.563,529,507.652,449,1,1,1,DMSO_10%_16h,1
G10,16 h,545.633,536,492.948,431,1,0,0,DMSO_10%_16h,1
G10,16 h,529.296,510,716.507,518,1,1,1,DMSO_10%_16h,1
G10,16 h,400.855,375,493.072,359,0,0,0,DMSO_10%_16h,1
G10,16 h,452.438,448,634.484,407,0,1,0,DMSO_10%_16h,1
G10,16 h,285.241,278,329.321,280,0,0,0,DMSO_10%_16h,1
G10,16 h,341.908,337,294.485,290,0,0,0,DMSO_10%_16h,1
G10,16 h,435.778,411,339.785,328,0,0,0,DMSO_10%_16h,1
G10,16 h,358.811,349,313.378,306,0,0,0,DMSO_10%_16h,1
G10,16 h,404.244,397,308.554,298,0,0,0,DMSO_10%_16h,1
G10,16 h,427.96,417,367.048,346,0,0,0,DMSO_10%_16h,1
G10,16 h,500.922,489,352.138,341,1,0,0,DMSO_10%_16h,1
G10,16 h,591.567,553,424.16,412,1,0,0,DMSO_10%_16h,1
G10,16 h,401.891,400,334.208,326,0,0,0,DMSO_10%_16h,1
G10,16 h,436.679,433,357.415,350,0,0,0,DMSO_10%_16h,1
G10,16 h,433.55,426,392.658,375,0,0,0,DMSO_10%_16h,1
G10,16 h,452.727,440,399.525,340,0,0,0,DMSO_10%_16h,1
G10,16 h,435.157,429,353.784,345,0,0,0,DMSO_10%_16h,1
G10,16 h,492.996,490,337.987,333,0,0,0,DMSO_10%_16h,1
G10,16 h,464.814,450,381.932,363,0,0,0,DMSO_10%_16h,1
G10,16 h,473.662,447,454.926,373,0,0,0,DMSO_10%_16h,1
G10,16 h,596.674,598,411.08,412,1,0,0,DMSO_10%_16h,1
G10,16 h,449.084,446,385.716,370,0,0,0,DMSO_10%_16h,1
G10,16 h,370.558,370,320.211,316,0,0,0,DMSO_10%_16h,1
G10,16 h,426.9,422,315.778,305,0,0,0,DMSO_10%_16h,1
G10,16 h,431.234,426,368.26,359,0,0,0,DMSO_10%_16h,1
