Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G6,30 min,561.426,543,510.263,482,1,1,1,DMSO_10%_30min,1
G6,30 min,512.026,466,586.027,495,1,1,1,DMSO_10%_30min,1
G6,30 min,590.91,571,502.206,469,1,1,1,DMSO_10%_30min,1
G6,30 min,535.633,526,431.662,418,1,0,0,DMSO_10%_30min,1
G6,30 min,481.749,469,398.638,386,0,0,0,DMSO_10%_30min,1
G6,30 min,374.546,366,277.386,274,0,0,0,DMSO_10%_30min,1
G6,30 min,799.094,709,701.038,645,1,1,1,DMSO_10%_30min,1
G6,30 min,812.382,760,571.597,548,1,1,1,DMSO_10%_30min,1
G6,30 min,359.86,345,552.08,490,0,1,0,DMSO_10%_30min,1
G6,30 min,543.864,535,479.174,449,1,0,0,DMSO_10%_30min,1
G6,30 min,470.298,448,563.48,524,0,1,0,DMSO_10%_30min,1
G6,30 min,440.544,432,463.179,448,0,0,0,DMSO_10%_30min,1
G6,30 min,400.38,384,376.175,362,0,0,0,DMSO_10%_30min,1
G6,30 min,594.076,564,662.506,614,1,1,1,DMSO_10%_30min,1
G6,30 min,505.767,499,420.295,405,1,0,0,DMSO_10%_30min,1
G6,30 min,500.134,478,416.858,388,1,0,0,DMSO_10%_30min,1
G6,30 min,452.742,436,405.367,371,0,0,0,DMSO_10%_30min,1
G6,30 min,616.978,585,402.868,381,1,0,0,DMSO_10%_30min,1
G6,30 min,523.893,504,386.518,368,1,0,0,DMSO_10%_30min,1
G6,30 min,540.725,525,698.771,685,1,1,1,DMSO_10%_30min,1
G6,30 min,537.539,524,461.329,440,1,0,0,DMSO_10%_30min,1
G6,30 min,651.841,574,758.83,647,1,1,1,DMSO_10%_30min,1
G6,30 min,453.476,433,437.932,418,0,0,0,DMSO_10%_30min,1
G6,30 min,566.573,560,580.434,544,1,1,1,DMSO_10%_30min,1
G6,30 min,468.739,464,385.212,380,0,0,0,DMSO_10%_30min,1
G6,30 min,577.107,555,689.394,651,1,1,1,DMSO_10%_30min,1
G6,30 min,586.355,566,604.036,594,1,1,1,DMSO_10%_30min,1
G6,30 min,448.676,425,410.268,385,0,0,0,DMSO_10%_30min,1
G6,30 min,565.882,554,614.969,616,1,1,1,DMSO_10%_30min,1
G6,30 min,436.238,432,381.569,367,0,0,0,DMSO_10%_30min,1
G6,30 min,444.345,426,444.336,411,0,0,0,DMSO_10%_30min,1
G6,30 min,425.503,419,470.575,454,0,0,0,DMSO_10%_30min,1
G6,30 min,483.739,417,746.019,485,0,1,0,DMSO_10%_30min,1
G6,30 min,467.428,454,480.08,417,0,0,0,DMSO_10%_30min,1
G6,30 min,527.825,503,463.711,439,1,0,0,DMSO_10%_30min,1
G6,30 min,428.435,403,500.214,355,0,1,0,DMSO_10%_30min,1
G6,30 min,570.337,553,499.483,466,1,0,0,DMSO_10%_30min,1
G6,30 min,451.135,446,396.13,369,0,0,0,DMSO_10%_30min,1
G6,30 min,384.44,380,397.613,365,0,0,0,DMSO_10%_30min,1
G6,30 min,564.397,546,525.916,476,1,1,1,DMSO_10%_30min,1
G6,30 min,398.526,392,455.304,430,0,0,0,DMSO_10%_30min,1
G6,30 min,426.919,396,734.619,546,0,1,0,DMSO_10%_30min,1
G6,30 min,433.601,424,346.478,328,0,0,0,DMSO_10%_30min,1
G6,30 min,604.432,576,607.968,537,1,1,1,DMSO_10%_30min,1
G6,30 min,366.057,362,329.21,321,0,0,0,DMSO_10%_30min,1
G6,30 min,568.857,550,517.027,492,1,1,1,DMSO_10%_30min,1
G6,30 min,521.924,506,601.48,541,1,1,1,DMSO_10%_30min,1
G6,30 min,630.402,568,485,441,1,0,0,DMSO_10%_30min,1
G6,30 min,394.524,369,366.788,359,0,0,0,DMSO_10%_30min,1
G6,30 min,467.624,442,468.222,450,0,0,0,DMSO_10%_30min,1
G6,30 min,410.86,394,380.313,372,0,0,0,DMSO_10%_30min,1
G6,30 min,623.541,576,534.422,491,1,1,1,DMSO_10%_30min,1
G6,30 min,529.863,518,744.723,663,1,1,1,DMSO_10%_30min,1
G6,30 min,538.884,516,378.897,365,1,0,0,DMSO_10%_30min,1
G6,30 min,683.751,598,1383.43,851,1,1,1,DMSO_10%_30min,1
G6,30 min,667.456,649,531.857,505,1,1,1,DMSO_10%_30min,1
G6,30 min,564.3,517,502.399,463,1,1,1,DMSO_10%_30min,1
G6,30 min,686.127,665,530.503,498,1,1,1,DMSO_10%_30min,1
G6,30 min,463.333,443,400.236,377,0,0,0,DMSO_10%_30min,1
G6,30 min,424.4,413,576.346,523,0,1,0,DMSO_10%_30min,1
